2021-06-05 20:02:03 start train.
2021-06-06 11:04:27 EPOCH 48 ,g_loss:-319.4043273925781 d_loss:-1.1707158088684082 p_loss:0.013582087121903896 gp_loss:0.1821650266647339 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 11:22:46 EPOCH 49 ,g_loss:-286.309814453125 d_loss:-1.2072278261184692 p_loss:0.0136795025318861 gp_loss:0.19266831874847412 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 11:41:06 EPOCH 50 ,g_loss:605.6296997070312 d_loss:-0.7889696955680847 p_loss:0.00987192802131176 gp_loss:0.057472337037324905 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 11:59:42 EPOCH 51 ,g_loss:1279.42236328125 d_loss:-0.9563802480697632 p_loss:0.0085279680788517 gp_loss:0.0710865929722786 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 12:18:02 EPOCH 52 ,g_loss:1548.1737060546875 d_loss:-0.9827824831008911 p_loss:0.008329210802912712 gp_loss:0.07519403100013733 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 12:36:21 EPOCH 53 ,g_loss:1405.6483154296875 d_loss:-1.0140036344528198 p_loss:0.008555159904062748 gp_loss:0.07808385044336319 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 12:54:41 EPOCH 54 ,g_loss:1466.7962646484375 d_loss:-1.0561859607696533 p_loss:0.008411768823862076 gp_loss:0.08547142893075943 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 13:13:02 EPOCH 55 ,g_loss:1361.4393310546875 d_loss:-1.0713341236114502 p_loss:0.008563791401684284 gp_loss:0.08736886084079742 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 13:31:41 EPOCH 56 ,g_loss:1382.5843505859375 d_loss:-1.0672907829284668 p_loss:0.008731774054467678 gp_loss:0.08954595774412155 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 13:50:02 EPOCH 57 ,g_loss:1217.207763671875 d_loss:-1.0647671222686768 p_loss:0.008660435676574707 gp_loss:0.09024455398321152 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 14:08:25 EPOCH 58 ,g_loss:1140.0985107421875 d_loss:-1.1182032823562622 p_loss:0.008384955115616322 gp_loss:0.09308784455060959 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 14:26:48 EPOCH 59 ,g_loss:1113.0330810546875 d_loss:-1.1128787994384766 p_loss:0.008226107805967331 gp_loss:0.09251206368207932 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
